OBJECTID,CF,CASE_NUM,SOURCE,ADOPTDATE,COMMENTS,CPA_1,CPA_2,BICYCLE_N,created_user,created_date,last_edited_user,last_edited_date,Shape__Length
9092,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00, ,VEN, ,1,,,,,122.798359400244
9093,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00, ,VEN, ,1,,,,,101.709085197152
9094,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00, ,VEN, ,1,,,,,117.563860532925
9095,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00, ,VEN, ,1,,,,,111.218183299242
9096,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00, ,VEN, ,1,,,,,125.542378682502
9097,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00, ,VEN, ,1,,,,,111.184990867063
9098,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,VEN,,1,,,,,204.958438285436
9099,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,VEN,,1,,,,,123.132529367263
9100,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00, ,VEN, ,1,,,,,46.3804351675456
9101,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00, ,VEN, ,1,,,,,123.12320498573
9102,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00, ,VEN, ,1,,,,,121.493055497739
9103,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,VEN,,1,,,,,15.6041041442429
9104,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,VEN,,1,,,,,58.981110417278
9105,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00, ,VEN, ,1,,,,,123.190138472709
9106,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00, ,VEN, ,1,,,,,342.128000988658
9107,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,VEN,,1,,,,,111.201943769326
9108,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,VEN,,1,,,,,111.211159573727
9109,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,VEN,,1,,,,,122.646398541985
9110,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,VEN,,1,,,,,123.189923407808
9111,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00, ,VEN, ,1,,,,,186.367971655445
9112,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,VEN,,1,,,,,466.632958452539
9113,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,VEN,,1,,,,,111.192153452235
9114,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00, ,VEN, ,1,,,,,122.039368837087
9115,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00, ,VEN, ,1,,,,,123.173140873447
9116,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00, ,VEN, ,1,,,,,111.321566594281
9117,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,VEN,,1,,,,,78.7958376841086
9118,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,VEN,,1,,,,,154.455117384916
9119,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,VEN,,1,,,,,123.166516878986
9120,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,124.321963131925
9121,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,279.00799302333
9122,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,264.882836854868
9123,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,429.830826646962
9124,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,303.516637765087
9125,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,178.876485977607
9126,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,125.148961528987
9127,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,170.92255390097
9128,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,274.061327147201
9129,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,61.0249746891195
9130,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated as per Lena,SLA,,2,,,,,62.9463838946859
9131,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated as per Lena,SLA,,2,,,,,44.9656167733978
9132,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,21.3213939642274
9133,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,149.314984527174
9134,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,117.587122367021
9135,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,206.768889250002
9136,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,65.0182088054873
9137,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,50.5345657286204
9138,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,149.23377508951
9139,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,123.947620376645
9140,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,236.120491138536
9141,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,61.1134845730681
9142,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,158.046462789372
9143,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,136.577970487574
9144,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,125.385673430628
9145,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,249.198112337632
9146,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,274.124538066412
9147,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,100.845121835323
9148,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,88.4403947841991
9149,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,327.191850242729
9150,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,182.241053041724
9151,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,60.180187757424
9152,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,121.208958032691
9153,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,334.000992946438
9154,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,303.501338353446
9155,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,170.900470430406
9156,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,159.523909844113
9157,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,159.70721801408
9158,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,206.941977035972
9159,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,121.859168416793
9160,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,61.4215776856041
9161,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,,SLA,,2,,,,,56.1685618228601
9162,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated per Timmy.,SEL,,2,,,PROJECT,2018/03/12 21:32:42+00,241.895873512201
9163,15-0719,CPC-2013-910-GPA-SP-CA-MSC, ,2015/08/11 00:00:00+00,Updated per Timmy.,SEL,,2,,,PROJECT,2018/03/12 21:32:42+00,242.946669851501
9164,15-0719,CPC-2013-910-GPA-SP-CA-MSC,West Adams- Baldwin Hills- Leimert Community Plan,2015/08/11 00:00:00+00,,WIL,,1,,,PROJECT,2017/04/17 16:06:20+00,122.064294050721
9165,15-0719,CPC-2013-910-GPA-SP-CA-MSC,West Adams- Baldwin Hills- Leimert Community Plan,2015/08/11 00:00:00+00,,WIL,WAD,1,,,PROJECT,2017/04/21 17:51:30+00,141.292334333611
